Redshift,Frequency,e_Frequency,Power,e_Power
4.692,77213514521991,7898893624849.28,2.74367626158849E+047,2.49568679792939E+033
4.692,147614071880277,46132016219183.9,1.99575911267623E+047,3.70879571232373E+032
4.692,370960580638261,47279289689190.1,2.25214063427164E+047,5.97878343417009E+031
4.692,509378707742090,55847748348006.4,3.52237032669914E+047,7.49378968589656E+031
4.692,790374558099120,51054766820012,4.52106608726555E+047,1.81670406131991E+032
4.692,794052429472313,55207845716061.4,4.32272322903201E+047,6.19889703994223E+031
4.692,1026726035460890,83862100520886.4,4.80432058863993E+047,1.37761275512229E+032
4.692,1360780439342900,89207809742367.3,4.60033639201752E+047,3.96020089439498E+031
4.692,1381715523025100,96983498583217.5,4.55390956808983E+047,1.10360329541079E+032
4.692,1861073913115930,140707623556011,3.82285053879224E+047,1.25363084009605E+031
4.692,1871073104096490,121242915677006,3.99130074564296E+047,1.7932223775524E+031
4.692,2141052284737770,464167060202691,2.98601480570603E+047,1.0379510209057E+031
4.692,2183517173302620,194932434246335,3.76617337852498E+047,1.0536454868602E+031
4.692,2201830543143226,184768996627403,3.83431323867916E+047,1.32918011549436E+031
4.692,2535540372861810,1150029110801250,1.41287770890565E+047,3.29962612396625E+030
4.692,2797407657272131,398132925005023,1.1848393154343E+047,3.33840588808316E+030
4.692,3207553892736842,899350249106720,5.07632795416174E+046,4.57145832137652E+030
4.692,3392482447188867,585183452428849,3.99632966200355E+046,8.95030143934448E+029
4.692,3549123691630620,413302108754849,2.36801709105676E+046,9.34610764354337E+029
